instance,timepoint,MCD_GetBoxDone-value,GetBox_signal-value,Conveyor_Speed_AnyAbnormalFlag,Gripper_Z_Speed_CombinedAnomalyFlag,RotatePosition_CombinedAnomalyFlag,label
1,0,1.0,1.0,0,0,0,0
1,1,1.0,1.0,0,0,0,0
1,2,1.0,1.0,0,0,0,0
1,3,1.0,1.0,0,0,0,0
1,4,1.0,1.0,0,0,0,0
1,5,1.0,1.0,0,0,0,0
1,6,1.0,1.0,0,0,0,0
1,7,1.0,1.0,0,0,0,0
1,8,1.0,1.0,0,0,0,0
1,9,1.0,1.0,0,0,0,0
1,10,1.0,1.0,0,0,0,0
1,11,1.0,1.0,0,0,0,0
1,12,1.0,1.0,0,0,0,0
1,13,1.0,1.0,0,0,0,0
1,14,1.0,1.0,0,0,0,0
1,15,1.0,1.0,0,0,0,0
1,16,1.0,1.0,0,0,0,0
1,17,1.0,1.0,0,0,0,0
1,18,1.0,1.0,0,0,0,0
1,19,1.0,1.0,0,0,0,0
1,20,1.0,1.0,0,0,0,0
1,21,1.0,1.0,0,0,0,0
1,22,1.0,1.0,0,0,0,0
1,23,1.0,1.0,0,0,0,0
1,24,1.0,1.0,0,0,0,0
1,25,1.0,1.0,0,0,0,0
1,26,1.0,1.0,0,0,0,0
1,27,1.0,1.0,0,0,0,0
1,28,1.0,1.0,0,0,0,0
1,29,1.0,1.0,0,0,0,0
1,30,1.0,1.0,0,0,0,0
1,31,1.0,1.0,0,0,0,0
1,32,1.0,1.0,0,0,0,0
1,33,1.0,1.0,0,0,0,0
1,34,1.0,1.0,0,0,0,0
1,35,1.0,1.0,0,0,0,0
1,36,1.0,1.0,0,0,0,0
1,37,1.0,0.0,0,0,0,0
1,38,1.0,0.0,0,0,0,0
1,39,1.0,0.0,0,0,0,0
1,40,1.0,0.0,0,0,0,0
1,41,1.0,0.0,0,0,0,0
1,42,1.0,0.0,0,0,0,0
1,43,0.0,0.0,0,0,0,0
1,44,0.0,0.0,0,0,0,0
1,45,0.0,0.0,0,0,0,0
1,46,0.0,0.0,0,0,0,0
1,47,0.0,0.0,0,0,0,0
1,48,0.0,0.0,0,0,0,0
1,49,0.0,0.0,0,0,0,0
1,50,0.0,0.0,0,0,0,0
1,51,0.0,0.0,0,0,0,0
1,52,0.0,0.0,0,0,0,0
1,53,0.0,0.0,0,0,0,0
1,54,0.0,0.0,0,0,0,0
1,55,0.0,0.0,0,0,0,0
1,56,0.0,0.0,0,0,0,0
1,57,0.0,0.0,0,0,0,0
1,58,0.0,0.0,0,0,0,0
1,59,0.0,0.0,0,0,0,0
1,60,0.0,0.0,0,0,0,0
1,61,0.0,0.0,0,0,0,0
1,62,0.0,0.0,0,0,0,0
1,63,0.0,0.0,0,0,0,0
1,64,0.0,0.0,0,0,0,0
1,65,0.0,0.0,0,0,0,0
1,66,0.0,0.0,0,0,0,0
1,67,0.0,0.0,0,0,0,0
1,68,0.0,0.0,0,0,0,0
1,69,0.0,0.0,0,0,0,0
1,70,0.0,0.0,0,0,0,0
1,71,0.0,0.0,0,0,0,0
1,72,0.0,0.0,0,0,0,0
1,73,0.0,0.0,0,0,0,0
1,74,0.0,0.0,0,0,0,0
1,75,0.0,0.0,0,0,0,0
1,76,0.0,0.0,0,0,0,0
1,77,0.0,0.0,0,0,0,0
1,78,0.0,0.0,0,0,0,0
1,79,0.0,0.0,0,0,0,0
1,80,0.0,0.0,0,0,0,0
1,81,0.0,0.0,0,0,0,0
1,82,0.0,0.0,0,0,0,0
1,83,0.0,0.0,0,0,0,0
1,84,0.0,0.0,0,0,0,0
1,85,0.0,0.0,0,0,0,0
1,86,0.0,0.0,0,0,0,0
1,87,0.0,0.0,0,0,0,0
1,88,0.0,0.0,0,0,0,0
1,89,0.0,0.0,0,0,0,0
1,90,0.0,0.0,0,0,0,0
1,91,0.0,0.0,0,0,0,0
1,92,0.0,0.0,0,0,0,0
1,93,0.0,0.0,0,0,0,0
1,94,0.0,0.0,0,0,0,0
1,95,0.0,0.0,0,0,0,0
1,96,0.0,0.0,0,0,0,0
1,97,0.0,0.0,0,0,0,0
1,98,0.0,0.0,0,0,0,0
1,99,0.0,0.0,0,0,0,0
1,100,0.0,0.0,0,0,0,0
1,101,0.0,0.0,0,0,0,0
1,102,0.0,0.0,0,0,0,0
1,103,0.0,0.0,0,0,0,0
1,104,0.0,0.0,0,0,0,0
1,105,0.0,0.0,0,0,0,0
1,106,0.0,0.0,0,0,0,0
1,107,0.0,0.0,0,0,0,0
1,108,0.0,0.0,0,0,0,0
1,109,0.0,0.0,0,0,0,0
1,110,0.0,0.0,0,0,0,0
1,111,0.0,0.0,0,0,0,0
1,112,0.0,0.0,0,0,0,0
1,113,0.0,0.0,0,0,0,0
1,114,0.0,0.0,0,0,0,0
1,115,0.0,0.0,0,0,0,0
1,116,0.0,0.0,0,0,0,0
1,117,0.0,0.0,0,0,0,0
1,118,0.0,0.0,0,0,0,0
1,119,0.0,0.0,0,0,0,0
1,120,0.0,0.0,0,0,0,0
1,121,0.0,0.0,0,0,0,0
1,122,0.0,0.0,0,0,0,0
1,123,0.0,0.0,0,0,0,0
1,124,0.0,0.0,0,0,0,0
1,125,0.0,0.0,0,0,0,0
1,126,0.0,0.0,0,0,0,0
1,127,0.0,0.0,0,0,0,0
1,128,0.0,0.0,0,0,0,0
1,129,0.0,0.0,0,0,0,0
1,130,0.0,0.0,0,0,0,0
1,131,0.0,0.0,0,0,0,0
1,132,0.0,0.0,0,0,0,0
1,133,0.0,0.0,0,0,0,0
1,134,0.0,0.0,0,0,0,0
1,135,0.0,0.0,0,0,0,0
1,136,0.0,0.0,0,0,0,0
1,137,0.0,0.0,0,0,0,0
1,138,0.0,0.0,0,0,0,0
1,139,0.0,0.0,0,0,0,0
1,140,0.0,0.0,0,0,0,0
1,141,0.0,0.0,0,0,0,0
1,142,0.0,0.0,0,0,0,0
1,143,0.0,0.0,0,0,0,0
1,144,0.0,0.0,0,0,0,0
1,145,0.0,0.0,0,0,0,0
1,146,0.0,0.0,0,0,0,0
1,147,0.0,0.0,0,0,0,0
1,148,0.0,0.0,0,0,0,0
1,149,0.0,0.0,0,0,0,0
1,150,0.0,0.0,0,0,0,0
1,151,0.0,0.0,0,0,0,0
1,152,0.0,0.0,0,0,0,0
1,153,0.0,0.0,0,0,0,0
